id,content,label,system_prompt,user_prompt,generated_pred,final_pred
1255615613923450882,Luc Montagnier won the Nobel Prize for for his discovery of the human immunodeficiency virus (HIV). https://t.co/VG3PC1CQI1,real,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""No"", ""explanation"": """"}, ""Call"":{""is_used"": ""No"", ""explanation"": """"}, ""Manipulative_wording"":{""is_used"": ""No"", ""explanation"": """"} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:Luc Montagnier won the Nobel Prize for for his discovery of the human immunodeficiency virus (HIV). https://t.co/VG3PC1CQI1. Answer:","{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""No"", ""explanation"": """"}, ""Call"":{""is_used"": ""No"", ""explanation"": """"}, ""Manipulative_wording"":{""is_used"": ""No"", ""explanation"": """"} }","{""response"": ""real""}"
1236143519133077504,"If you pumped soap from those public soap dispensers in the bathroom in school, you’re immune to the coronavirus.",fake,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"": {""is_used"": ""No"", ""explanation"": """"}, ""Justification"": {""is_used"": ""No"", ""explanation"": """"}, ""Simplification"": {""is_used"": ""Yes"", ""explanation"": ""The text simplifies the relationship between pumping soap from public soap dispensers and immunity to the coronavirus. It implies that pumping soap is a single cause of immunity, ignoring the complexity of the actual relationship between soap and immunity.""}, ""Distraction"": {""is_used"": ""No"", ""explanation"": """"}, ""Call"": {""is_used"": ""No"", ""explanation"": """"}, ""Manipulative_wording"": {""is_used"": ""Yes"", ""explanation"": ""The text uses loaded language, specifically the phrase 'you’re immune', which implies a strong and absolute protection against the coronavirus, which may not be the case in reality.""} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:If you pumped soap from those public soap dispensers in the bathroom in school, you’re immune to the coronavirus.. Answer:","{ ""Attack_on_reputation"": {""is_used"": ""No"", ""explanation"": """"}, ""Justification"": {""is_used"": ""No"", ""explanation"": """"}, ""Simplification"": {""is_used"": ""Yes"", ""explanation"": ""The text simplifies the relationship between pumping soap from public soap dispensers and immunity to the coronavirus. It implies that pumping soap is a single cause of immunity, ignoring the complexity of the actual relationship between soap and immunity.""}, ""Distraction"": {""is_used"": ""No"", ""explanation"": """"}, ""Call"": {""is_used"": ""No"", ""explanation"": """"}, ""Manipulative_wording"": {""is_used"": ""Yes"", ""explanation"": ""The text uses loaded language, specifically the phrase 'you’re immune', which implies a strong and absolute protection against the coronavirus, which may not be the case in reality.""} }","{""response"": ""fake""}"
1265282794831392768,"🔴 LIVE at 11:30 am: @GovernorTomWolf + @SecretaryLevine will provide update on #COVID19 + efforts to mitigate virus in PA.

WATCH LIVE:
• https://t.co/LaU3P1fVkU
• https://t.co/B4J60sEciY
• https://t.co/oHeGocRoSX
• https://t.co/KTuW7OgL9N
• Español: https://t.co/3b6uzhj3pz https://t.co/DM1M828GfB",real,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""Yes"", ""explanation"": ""The text is distracting the reader from the main topic (COVID-19 efforts in PA) by providing multiple links to watch the live update, which is not directly related to the topic itself but rather an action to take (watching the live update).""}, ""Call"":{""is_used"": ""Yes"", ""explanation"": ""The text is calling the reader to take an action (watch the live update) by using the phrase 'WATCH LIVE' in capital letters and providing multiple links to do so.""}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:🔴 LIVE at 11:30 am: @GovernorTomWolf + @SecretaryLevine will provide update on #COVID19 + efforts to mitigate virus in PA.

WATCH LIVE:
• https://t.co/LaU3P1fVkU
• https://t.co/B4J60sEciY
• https://t.co/oHeGocRoSX
• https://t.co/KTuW7OgL9N
• Español: https://t.co/3b6uzhj3pz https://t.co/DM1M828GfB. Answer:","{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""Yes"", ""explanation"": ""The text is distracting the reader from the main topic (COVID-19 efforts in PA) by providing multiple links to watch the live update, which is not directly related to the topic itself but rather an action to take (watching the live update).""}, ""Call"":{""is_used"": ""Yes"", ""explanation"": ""The text is calling the reader to take an action (watch the live update) by using the phrase 'WATCH LIVE' in capital letters and providing multiple links to do so.""}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }","{""response"": ""real""}"
1234899473882664960,When’s this coronavirus vaccine coming out?,fake,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""No"", ""explanation"": """"}, ""Call"":{""is_used"": ""Yes"", ""explanation"": ""The text is a call to action, encouraging the reader to ask about the release date of the coronavirus vaccine. It does not contain any arguments or persuasive language, but rather a direct question that prompts the reader to take action or seek information.""}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:When’s this coronavirus vaccine coming out?. Answer:","{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""No"", ""explanation"": """"}, ""Call"":{""is_used"": ""Yes"", ""explanation"": ""The text is a call to action, encouraging the reader to ask about the release date of the coronavirus vaccine. It does not contain any arguments or persuasive language, but rather a direct question that prompts the reader to take action or seek information.""}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }","{""response"": ""real""}"
1248951179393904640,"MTA employees have contracted COVID-19 at three times the rate of the general public. They are essential workers, but what are we doing to protect them?

https://t.co/ycIlcbk3g9",real,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"": {""is_used"": ""No"", ""explanation"": """"}, ""Justification"": {""is_used"": ""No"", ""explanation"": """"}, ""Simplification"": {""is_used"": ""No"", ""explanation"": """"}, ""Distraction"": {""is_used"": ""No"", ""explanation"": """"}, ""Call"": {""is_used"": ""Yes"", ""explanation"": ""The text is encouraging the reader to take action (protect MTA employees) by framing it as a moral obligation, which is a characteristic of a Call. The text does not provide a detailed justification or argument, but rather presents a situation and asks for a response.""}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:MTA employees have contracted COVID-19 at three times the rate of the general public. They are essential workers, but what are we doing to protect them?

https://t.co/ycIlcbk3g9. Answer:","{ ""Attack_on_reputation"": {""is_used"": ""No"", ""explanation"": """"}, ""Justification"": {""is_used"": ""No"", ""explanation"": """"}, ""Simplification"": {""is_used"": ""No"", ""explanation"": """"}, ""Distraction"": {""is_used"": ""No"", ""explanation"": """"}, ""Call"": {""is_used"": ""Yes"", ""explanation"": ""The text is encouraging the reader to take action (protect MTA employees) by framing it as a moral obligation, which is a characteristic of a Call. The text does not provide a detailed justification or argument, but rather presents a situation and asks for a response.""}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }","{""response"": ""real""}"
1260715233452208130,Covid-19 booze rush in India as restrictions ease https://t.co/aWwxL8sSDr,real,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"": {""is_used"": ""No"", ""explanation"": """"}, ""Justification"": {""is_used"": ""No"", ""explanation"": """"}, ""Simplification"": {""is_used"": ""Yes"", ""explanation"": ""The text simplifies the issue of Covid-19 and its relation to the easing of restrictions in India. It does not provide a detailed explanation of the consequences of the 'booze rush' or the impact of the restrictions on the country's health system. The text only mentions the 'rush' without providing a nuanced analysis of the situation.""}, ""Distraction"": {""is_used"": ""No"", ""explanation"": """"}, ""Call"": {""is_used"": ""No"", ""explanation"": """"}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:Covid-19 booze rush in India as restrictions ease https://t.co/aWwxL8sSDr. Answer:","{ ""Attack_on_reputation"": {""is_used"": ""No"", ""explanation"": """"}, ""Justification"": {""is_used"": ""No"", ""explanation"": """"}, ""Simplification"": {""is_used"": ""Yes"", ""explanation"": ""The text simplifies the issue of Covid-19 and its relation to the easing of restrictions in India. It does not provide a detailed explanation of the consequences of the 'booze rush' or the impact of the restrictions on the country's health system. The text only mentions the 'rush' without providing a nuanced analysis of the situation.""}, ""Distraction"": {""is_used"": ""No"", ""explanation"": """"}, ""Call"": {""is_used"": ""No"", ""explanation"": """"}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }","{""response"": ""real""}"
1235501961581080579,"According to official sources, a citizen in Ghaziabad has tested positive for #COVID19 taking India's confirmed cases count to 30.

Hong Kong witnessed the first human to animal transmission after a dog tested 'weak positive'. #coronavirusinindia #COVID 

https://t.co/EzI2QU55ye",real,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"": {""is_used"": ""No"", ""explanation"": """"}, ""Justification"": {""is_used"": ""No"", ""explanation"": """"}, ""Simplification"": {""is_used"": ""No"", ""explanation"": """"}, ""Distraction"": {""is_used"": ""Yes"", ""explanation"": ""The text is distracting the reader from the main topic of COVID-19 in India by mentioning Hong Kong and a dog testing 'weak positive' for COVID-19, which is not directly related to the main topic.""}, ""Call"": {""is_used"": ""No"", ""explanation"": """"}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:According to official sources, a citizen in Ghaziabad has tested positive for #COVID19 taking India's confirmed cases count to 30.

Hong Kong witnessed the first human to animal transmission after a dog tested 'weak positive'. #coronavirusinindia #COVID 

https://t.co/EzI2QU55ye. Answer:","{ ""Attack_on_reputation"": {""is_used"": ""No"", ""explanation"": """"}, ""Justification"": {""is_used"": ""No"", ""explanation"": """"}, ""Simplification"": {""is_used"": ""No"", ""explanation"": """"}, ""Distraction"": {""is_used"": ""Yes"", ""explanation"": ""The text is distracting the reader from the main topic of COVID-19 in India by mentioning Hong Kong and a dog testing 'weak positive' for COVID-19, which is not directly related to the main topic.""}, ""Call"": {""is_used"": ""No"", ""explanation"": """"}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }","{""response"": ""real""}"
1252254464997761027,"Members of the Coronavirus Task Force will hold a briefing on COVID-19 updates at 2 p.m. today.
Watch the live stream: https://t.co/IRzO85YCMx. https://t.co/s8B4uUFcxC",real,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""No"", ""explanation"": """"}, ""Call"":{""is_used"": ""Yes"", ""explanation"": ""The text is a call to action, encouraging the reader to watch the live stream of the Coronavirus Task Force briefing on COVID-19 updates. It is an encouragement to act or think in a particular way, which is to watch the briefing.""}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:Members of the Coronavirus Task Force will hold a briefing on COVID-19 updates at 2 p.m. today.
Watch the live stream: https://t.co/IRzO85YCMx. https://t.co/s8B4uUFcxC. Answer:","{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""No"", ""explanation"": """"}, ""Call"":{""is_used"": ""Yes"", ""explanation"": ""The text is a call to action, encouraging the reader to watch the live stream of the Coronavirus Task Force briefing on COVID-19 updates. It is an encouragement to act or think in a particular way, which is to watch the briefing.""}, ""Manipulative_wording"": {""is_used"": ""No"", ""explanation"": """"} }","{""response"": ""real""}"
1232415244938383360,Stay informed with daily updates from the Hawaii Department of Health by email on COVID-19. Sign up at https://t.co/zw6Q162pVH  #COVID19 #coronavirus https://t.co/cKkthyKQis,real,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""No"", ""explanation"": """"}, ""Call"":{""is_used"": ""Yes"", ""explanation"": ""The text is encouraging the reader to sign up for daily updates from the Hawaii Department of Health, which is a call to action. It is urging the reader to take a specific action, which is to stay informed about COVID-19.""}, ""Manipulative_wording"":{""is_used"": ""No"", ""explanation"": """"} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:Stay informed with daily updates from the Hawaii Department of Health by email on COVID-19. Sign up at https://t.co/zw6Q162pVH  #COVID19 #coronavirus https://t.co/cKkthyKQis. Answer:","{ ""Attack_on_reputation"":{""is_used"": ""No"", ""explanation"": """"}, ""Justification"":{""is_used"": ""No"", ""explanation"": """"}, ""Simplification"":{""is_used"": ""No"", ""explanation"": """"}, ""Distraction"":{""is_used"": ""No"", ""explanation"": """"}, ""Call"":{""is_used"": ""Yes"", ""explanation"": ""The text is encouraging the reader to sign up for daily updates from the Hawaii Department of Health, which is a call to action. It is urging the reader to take a specific action, which is to stay informed about COVID-19.""}, ""Manipulative_wording"":{""is_used"": ""No"", ""explanation"": """"} }","{""response"": ""real""}"
1255840686726959104,Apparently some folks have a way to link proposed amendments to NCDC bill with mandatory  administration of vaccine in line new world order theory. Now that we have somehow established that 5G=COVID19 is rubbish. We have to convince dumb heads about this latest expedition. SHIOR,fake,"You are an AI assistant trained to detect fake news.
","The text you are about to analyze has already been reviewed to identify any high-level persuasion approaches. The results of this analysis are presented below:
{ ""Attack_on_reputation"":{""is_used"": ""Yes"", ""explanation"": ""The text uses name calling by labeling some folks as 'dumb heads' to undermine their credibility and create a negative impression, which is a form of attack on reputation.""}, ""Justification"":{""is_used"": ""No""}, ""Simplification"":{""is_used"": ""No""}, ""Distraction"":{""is_used"": ""Yes"", ""explanation"": ""The text diverts the attention from the main topic of the proposed amendments to NCDC bill by introducing a completely unrelated topic, '5G=COVID19 is rubbish', which is a red herring.""}, ""Call"":{""is_used"": ""No""}, ""Manipulative_wording"":{""is_used"": ""Yes"", ""explanation"": ""The text uses loaded language, such as 'dumb heads', to create a negative emotional response and influence the audience's opinion, which is an example of manipulative wording.""} }
Keep in mind that above results may include errors and not all explanations may be right. Knowing this now it is your turn to analyze text and decide if text include fake news. Analyze the given text and determine if it is real or fake news. Answer only 'real' or 'fake'. Give answer in the form of dictionary: {""response"": ""Here 'fake' or 'real'""}
 Text:Apparently some folks have a way to link proposed amendments to NCDC bill with mandatory  administration of vaccine in line new world order theory. Now that we have somehow established that 5G=COVID19 is rubbish. We have to convince dumb heads about this latest expedition. SHIOR. Answer:","{ ""Attack_on_reputation"":{""is_used"": ""Yes"", ""explanation"": ""The text uses name calling by labeling some folks as 'dumb heads' to undermine their credibility and create a negative impression, which is a form of attack on reputation.""}, ""Justification"":{""is_used"": ""No""}, ""Simplification"":{""is_used"": ""No""}, ""Distraction"":{""is_used"": ""Yes"", ""explanation"": ""The text diverts the attention from the main topic of the proposed amendments to NCDC bill by introducing a completely unrelated topic, '5G=COVID19 is rubbish', which is a red herring.""}, ""Call"":{""is_used"": ""No""}, ""Manipulative_wording"":{""is_used"": ""Yes"", ""explanation"": ""The text uses loaded language, such as 'dumb heads', to create a negative emotional response and influence the audience's opinion, which is an example of manipulative wording.""} }","{""response"": ""fake""}"
